Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Cell Cycle (GO:0051726),16/298,0.00018354880964247604,0.00591869686175,0,0,3.0397831083868687,26.15134507200154,CDT1;PLK1;ACTL6A;PRCC;GATA3;FOXM1;UCHL5;CKS1B;CDC20;LEP;CHEK1;CKS2;PRR11;DLGAP5;CDKN3;MCM2
GO_Biological_Process_2023,Chromosome Organization (GO:0051276),6/45,0.0001886906741308923,0.005986363806701,0,0,8.121086460709103,69.64157724809077,TOP2A;MSH6;CENPW;MSH2;NUF2;CDCA8
GO_Biological_Process_2023,Positive Regulation Of DNA Biosynthetic Process (GO:2000573),7/65,0.0002175362984100815,0.0067070705824921,0,0,6.381873252562908,53.81926143908452,GINS1;RFC4;PCNA;RFC2;MAPK1;NEK2;AURKB
GO_Biological_Process_2023,Regulation Of Mitotic Cell Cycle Phase Transition (GO:1901990),8/86,0.00021822700420920195,0.0067070705824921,0,0,5.432562017927872,45.79636054791238,ANLN;CENPE;CENPF;UBE2C;ACTL6A;PLK1;KIF14;AURKA
GO_Biological_Process_2023,mRNA Processing (GO:0006397),13/214,0.00022341919956916955,0.0067610087008085,0,0,3.4509594882729213,29.01035542746401,CPSF6;ALYREF;CWF19L2;CDC5L;LSM4;SYNCRIP;PRPF4;SFPQ;HNRNPA2B1;SNRPG;SRSF3;HNRNPC;SRSF5
GO_Biological_Process_2023,Microtubule Depolymerization (GO:0007019),4/17,0.00024345758768621424,0.0070423687496879,0,0,16.176531243555374,134.59792511819808,KIF18B;KIF14;KIF2C;CKAP5
GO_Biological_Process_2023,Purine-Containing Compound Biosynthetic Process (GO:0072522),4/17,0.00024345758768621424,0.0070423687496879,0,0,16.176531243555374,134.59792511819808,PNP;GMPS;HPRT1;GART
GO_Biological_Process_2023,Regulation Of DNA-templated DNA Replication (GO:0090329),4/17,0.00024345758768621424,0.0070423687496879,0,0,16.176531243555374,134.59792511819808,CDT1;MCM4;MCM6;MCM2
GO_Biological_Process_2023,Double-Strand Break Repair Via Homologous Recombination (GO:0000724),9/111,0.00025445479877293504,0.007253805640382,0,0,4.680546675191816,38.73801727357543,RAD51AP1;FEN1;SFPQ;CDC45;UBE2N;MCM4;SMC6;MCM6;MCM2
GO_Biological_Process_2023,Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051438),5/32,0.00030689338810374454,0.0086237042057152,0,0,9.755077658303463,78.90892210142688,CDC20;PLK1;UBE2N;BUB1B;MAD2L1
GO_Biological_Process_2023,GMP Metabolic Process (GO:0046037),3/8,0.000346809731088988,0.0093448594664662,0,0,31.472727272727276,250.73485442397572,GMPS;HPRT1;GART
GO_Biological_Process_2023,Regulation Of Mitotic Centrosome Separation (GO:0046602),3/8,0.000346809731088988,0.0093448594664662,0,0,31.472727272727276,250.73485442397572,CHEK1;NEK2;KIF11
GO_Biological_Process_2023,Regulation Of Mitotic Sister Chromatid Segregation (GO:0033047),3/8,0.000346809731088988,0.0093448594664662,0,0,31.472727272727276,250.73485442397572,CCNB1;CDK1;AURKB
GO_Biological_Process_2023,Positive Regulation Of Chromosome Organization (GO:2001252),5/33,0.0003561531825861256,0.0094669366236068,0,0,9.406201996927804,74.68665131968676,FEN1;CDK1;NCAPG;SMC4;AURKB
GO_Biological_Process_2023,Nucleotide Biosynthetic Process (GO:0009165),4/19,0.0003848390745348576,0.0100930461281341,0,0,14.018230563002682,110.22093536962568,RRM2;PNP;HPRT1;GART
GO_Biological_Process_2023,Establishment Of Mitotic Spindle Localization (GO:0040001),5/34,0.000411163151218957,0.0106415515585222,0,0,9.081386725991845,70.8032174201177,PLK1;NUSAP1;MAPRE1;NDC80;MAD2L1
GO_Biological_Process_2023,Positive Regulation Of Telomere Maintenance (GO:0032206),6/52,0.0004221990825501295,0.0107852674724169,0,0,6.88280792218446,53.4796487872587,ACTL6A;HNRNPA2B1;MAPK1;NEK2;UCHL5;AURKB
GO_Biological_Process_2023,DNA Repair (GO:0006281),15/291,0.00044573750684568606,0.0112405855893008,0,0,2.904606053326928,22.41130224940831,FANCI;FEN1;PCNA;RFC4;RFC2;CDCA5;MSH6;RAD51AP1;MSH2;EXO1;UBE2T;CHEK1;CDK1;UBE2N;TRIP13
GO_Biological_Process_2023,Positive Regulation Of Mitotic Nuclear Division (GO:0045840),5/35,0.00047234625209012217,0.0117608237703958,0,0,8.778225806451612,67.22188227478956,CDC20;UBE2C;NUSAP1;DLGAP5;AURKA
GO_Biological_Process_2023,Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051987),3/10,0.0007225683139704286,0.0177661484197479,0,0,22.478227654698244,162.57824546921313,CCNB1;BIRC5;CDCA8
GO_Biological_Process_2023,Stress Granule Assembly (GO:0034063),4/24,0.0009793964684248048,0.0226710996722373,0,0,10.510991957104558,72.82618584633673,GRB7;G3BP1;CIRBP;MAPT
GO_Biological_Process_2023,Double-Strand Break Repair Via Break-Induced Replication (GO:0000727),3/11,0.0009796865643823948,0.0226710996722373,0,0,19.66744652406417,136.2615345065707,MCM4;MCM6;MCM2
GO_Biological_Process_2023,Positive Regulation Of Metaphase/Anaphase Transition Of Cell Cycle (GO:1902101),3/11,0.0009796865643823948,0.0226710996722373,0,0,19.66744652406417,136.2615345065707,CDC20;UBE2C;DLGAP5
